Date ,Reference URL,Hook,Build Up,Body ,CTA
05/04/2024,https://www.instagram.com/reel/C5Gj8oMrOkd/?igsh=ZjF2eXhkenUwYXB0,":Multiple big creators stole my content and got millions of views, more views than even me, the original creator.","Multiple big creators stole my content and got millions of views, more views than even me, who is the original. Now, I could be mad at them, but I'm a giver and I will give you two of the best ways to find wild content they shouldn't steal, but use as inspiration.","Multiple big creators stole my content and got millions of views, more views than even me, who is the original. Now, I could be mad at them, but I'm a giver and I will give you two of the best ways to find wild content they shouldn't steal, but use as inspiration. First is Tweet Hunter. Find a creator on Twitter in your space and go to their profile. Tweet Hunter will organize all the tweets by the most likes on the sidebar on the right. Scroll through and specifically look for Twitter threads. These are gold mines for video ideas. The second method is source TikTok. Find a creator on TikTok and use a Chrome extension to sort all their videos by the most views. Comment PB below if you want me to send you a link to these tools, plus a 22-page doc on how to grow your personal brand from scratch.","Comment PB below if you want me to send you a link to these tools, plus a 22 page doc on how to grow your personal brand from scratch."
21/04/2024,https://www.instagram.com/reel/C5_wpqASpXA/?igsh=MXZqOGN3MGNqempzZw==,Can you follow MrBeast on TikTok? Comment the word mud. Just comment the word wallet. Comment the word YT and... You might have noticed something there. This is the secret to how the biggest creators grow millions of followers each week.,"This is the secret to how the biggest creators grow millions of followers each week. I personally gained 300,000 followers off one video from this method. And it's not because of their content, anyone can do this. It's because of one simple tactic you're missing out on. And that's a CTA. You see, the problem today is that people are mindlessly scrolling through social media.","Can you follow MrBeast on TikTok? Comment the word mud. Just comment the word wallet. Comment the word YT and... You might have noticed something there. This is the secret to how the biggest creators grow millions of followers each week. I personally gained 300,000 followers off one video from this method. And it's not because of their content, anyone can do this. It's because of one simple tactic you're missing out on. And that's a CTA. You see, the problem today is that people are mindlessly scrolling through social media. And if your content is getting millions of views, it's important to remind these people to take action after the video. Whether that's giving value, selling a course, doing whatever. Tell them to like, comment, share, save, everything, after the video is over. Because this simple strategy is getting people millions of followers, millions of leads, millions of dollars from their bank account. And there's endless amounts of ways to incorporate CTAs throughout your videos. I put together a vlog explaining how I grew to almost 1,000,000 followers in 2 months, So comment down below CTA if you want it.",So comment down below CTA if you want it.
17/05/2024,https://www.instagram.com/reel/CxsrdLjuoO5/?igsh=NGFnaHYyeDVoNjdi,"""My name is Devin Jatto and as a social media manager I charge my clients from anywhere from 53 thousand to 187 thousand dollars per year and today I'm going to share with you my favorite social media strategy so you can steal it and implement it for yourself!""","""First, you need to get clear on what you're an expert on... So for this video let's say you're a fitness coach.""","""Within the niche of fitness you're creating 8 different sub-topics. This is your lifetime supply of content ideas so let's start with your first sub-topic weight-loss. Head over to QUORA.com and search weight loss. Now on the left filter your search by questions. Now take at least 30 ideas and put them into some sort of spreadsheet. And in that spreadsheet create 3 different columns. Sub-topic, video idea, and view count. For 30 days create and post one idea every single day and then track the performance of each of the video's views.""","""At the end of these 30 days sort your videos by most viewed to least viewed then double down on the sub-topics that performed the best! If you do this I promise that you'll grow your account!"""
17/05/2024,https://www.instagram.com/reel/C1fL7j4RSfP/?igsh=MWt1MTd0dnAxc2duag==,"""If you need content ideas for TikToks or Instagram reels, don't be an ass and ask ChadGBT.""","""Can you give me 10 content ideas? That's horrible. Let me put you on game and teach you how to use ChadGBT correctly to get viral content ideas.""","""Right now there are 800 million YouTube videos to steal ideas from. And that's exactly what we're going to do, shine AI. Head over to YouTube and search for a video within your industry. Once you find a YouTube video that you like, go ahead and copy that video's link and head over to youtubetranscript.com and paste in that video... [Instructions continue on how to convert a YouTube transcript into a content idea using AI].""","""You can either screenshot this or just comment the word 'wallet' and I'll just send it over to you."""
17/05/2024,https://www.instagram.com/reel/CxaY7XQOIUq/?igsh=MWpoeTIxMWE3MzUxNg==,"""This is how the algorithm works on social media.""","""Once you learn the algorithm, you know the rules of the game and then you know how to win the game.""","""When you first publish your content, it gets distributed to 20% of your followers and to a portion of people who are not your followers but those whose interest align with your content. Then the algorithm measures your content by 2 things: Watch time and Engagement. And the platform cares more about watch time. Because the longer someone spends on their platform, the more they get paid from ads. So if a person spends time watching your content, it gets pushed to more people with similar interests. Otherwise, if the content doesn't grab the viewers' attention, it gets no boost. Also, if a person shares, comments, likes, or saves your published content, the algorithm pushes your content to more viewers, resulting in more reach and engagement from a broader audience.""","""And the biggest cheat code to win this game is to follow for more value."""
17/05/2024,https://www.instagram.com/reel/CuegXRbgcPQ/?igsh=MWpkODRidXZtbWs3ZA==,"""Here's how to turn 1 shitty content idea into 18 viral videos.""","""And if you're questioning my competence, I grew my Instagram from 0 to 200K followers in six months by using this strategy.""","""The first thing we want to do is come up with a core topic. For example, let's say our core topic is fitness. Now, we want to break our core topic into three different subtopics. So, in this case, they might be diet, weightlifting, and cardio. Now these three subtopics can be broken down into six different content categories. Number one, a quick tip. Number two, industry myths. Number three, common mistakes. Number four, personal stories. Number five, common questions. And lastly, my personal favorite, number six, actionable step-by-step systems. And now we have infinite content ideas.""","As always, follow for more value."
17/05/2024,https://www.instagram.com/reel/Cqsxdf8AnqI/?igsh=M3hrNTF3NThzb3Bz,"""Here's how to transform one shitty idea into seven viral hooks for your next video.""","Build Up:
""Let's say the concept for your video is protein powder.""","""You could put a negative spin. Protein powders should never taste this good, or you could put a positive spin. This protein shake actually tastes good and it's completely organic. You can ask a question. Do your protein shakes always taste like chalk? You can share an experience. I wanted to get big this summer, but getting in enough protein feels impossible. You can call the viewer out. If you struggle with gaining muscle, listen up. Tell them how? Here's how you can reach your protein goals and enjoy it. Or you could give social proof. Here's why Ronnie Coleman can't shut up about his protein powder.""",Save this post and follow me for more value.
17/05/2024,https://www.instagram.com/reel/C34gvlouhR9/?igsh=cGRpYTNxZ2dmdHFy,"""You need to be using this free software for all of your Instagram videos.""","""It's called MiniChat.""","""You can easily build automations that instantly respond to comments, Instagram stories, cold DMs, and so much more. I've sent 162,000 automated DMs with this software...""","Comment LEARN, and I'll send you the guide right now."
17/05/2024,https://www.instagram.com/reel/C3tsed4g8vI/?igsh=cHhyeWI1bTJpZGN1,"""Alex Hormozi's favorite line is 'I have nothing to sell you.' But this is such a lie.""","""He does have something to sell you, it's just not what you think. The past couple of years, Alex has been building and leveraging his personal brand, positioning himself to sell to certain people, just probably not you.""","""In fact, when most gurus are selling for thousands of dollars, Alex Hormozi is giving it away for free. Why? Because he wants to focus all of his time on businesses making over $3 million per year. And this is where he sells. Once you're established, he sells you on taking equity in your company and continuing to mentor you as you scale. And leveraging his personal brand to do this has helped him build acquisition.com to $150 million. But none of this would be possible without his personal brand, which is exactly why you're an idiot if you're not building yours.""","""Comment yes below and I'll send you a mini course showing you exactly how to build and monetize your personal brand right now."""
17/05/2024,https://www.instagram.com/reel/C2cFdi0A5ym/?igsh=NHdndXFsZzZ3bnZs,"""You need to use this copy paste method to go viral on Instagram.""","""This is the exact strategy that I used to grow 100,000 followers in 62 days, land six videos with over one million views, all without spending a dime.""","First, identify a niche that you wanna grow in and find a viral video that has five times more views than the profile has followers. This is how you know the video actually went viral. Second, take the script from the video and restructure it so that it fits your personal brand image. Now you can record yourself speaking on the script just like this, edit it together, and once you master pacing and tonality, voila, now you have yourself a viral video.","""If you wanna learn pacing and tone, comment viral below, and I'll send you lesson right now."""
